Client_ID,Auto_Insurance_Contract,Health_Insurance_Contract,Home_Insurance_Contract,Life_Insurance_Contract,Coverage_Amount,Contract_Duration_Years,Assurance_Cost_Per_Month,Creditworthiness,Claims_History_Count,Last_Reported_Claim_Type,Last_Reported_Claim_Date,Last_Claim_Resolution_Type,Claim_Rate,Customer_Tenure_Years,Is_Premium_Client,Health_History,Risk_Profile,Recent_Life_Event,Recent_Life_Event_Date,Age,Annual_Income,Employment_Status,Has_Kids,Homeownership_Status,Type_of_Housing,Has_Car,Location,Primary_Transportation_Mode,Last_Interaction_Date,Last_Contract_Change_Date
60,1,1,0,0,11464,8,941,Average,1,Accident,11/06/2023,Fast,0.43,13,False,Good,Poor,New Baby,25/09/2024,45,74462,Unemployed,True,Own,Single-family home,False,Urban,Biking,01/01/2025,397
61,1,1,0,1,83270,9,814,Excellent,2,Accident,14/06/2024,Standard,0.8,13,False,Good,Medium,Job Change,25/05/2024,64,7166308,Unemployed,True,Own,Single-family home,False,Urban,Biking,28/06/2024,428
62,0,0,0,1,49740,2,239,Poor,4,,,Standard,0.55,4,False,Good,Poor,New Baby,13/12/2024,24,71986,Unemployed,False,Rent,Single-family home,True,Urban,Public transportation,28/09/2024,164
63,0,0,0,1,44724,0,745,Excellent,1,,,Conflicting,0.76,0,False,Unknown,Poor,Moved,23/03/2025,61,65652,Unemployed,True,Own,Single-family home,True,Urban,Car,06/02/2023,361
64,1,0,1,1,81939,0,698,Average,4,Accident,11/08/2024,Standard,0.09,0,False,Medium,High,Job Change,01/09/2024,25,73092,Unemployed,True,Own,Single-family home,False,Suburban,Biking,15/03/2024,365
65,1,0,0,0,61858,2,878,Poor,2,Accident,20/08/2024,Conflicting,0.87,5,False,Unknown,Poor,Job Change,14/08/2024,64,1142923,Unemployed,False,Own,Apartment,True,Urban,Car,20/07/2024,231
66,0,0,0,1,87922,6,260,Poor,3,,,Standard,0.77,6,False,Fragile,Medium,Job Change,07/02/2024,52,215911,Unemployed,True,Own,Apartment,False,Urban,Car,15/09/2024,369
67,1,0,1,0,85527,4,534,Excellent,4,Accident,03/09/2023,Fast,0.72,7,False,Fragile,High,New Baby,08/08/2023,31,73718,Unemployed,True,Own,Single-family home,False,Urban,Public transportation,14/07/2023,441
68,1,1,1,0,82544,3,892,Poor,2,Accident,05/02/2025,Conflicting,0.19,3,False,Medium,High,Marriage,18/10/2023,34,67916,Unemployed,False,Own,Apartment,False,Urban,Walking,19/09/2023,374
69,1,1,1,0,30320,6,552,Good,0,Accident,26/09/2024,,,14,False,Fragile,Poor,Job Change,10/03/2024,53,158392,Unemployed,False,Rent,Single-family home,True,Urban,Biking,02/05/2025,141
70,1,0,1,0,47558,0,495,Excellent,2,Accident,24/03/2025,Conflicting,0.36,0,False,Good,Medium,Moved,29/10/2023,67,5227297,Unemployed,True,Own,Apartment,True,Suburban,Car,29/02/2024,391
71,0,0,1,0,99151,2,140,Poor,1,Theft,25/06/2024,Fast,0.46,8,False,Unknown,High,,,57,4232118,Unemployed,True,Rent,Townhouse,False,Urban,Biking,24/07/2024,258
72,0,1,0,1,18980,0,148,Average,4,Damage,07/03/2025,Conflicting,0.22,0,True,Medium,Medium,,,21,66784,Unemployed,True,Own,Apartment,True,Urban,Public transportation,13/02/2025,203
73,1,0,0,1,42736,0,957,Excellent,0,Accident,27/12/2024,,,0,False,Unknown,Medium,Job Change,16/06/2023,19,72016,Unemployed,True,Own,Single-family home,False,Suburban,Car,07/08/2023,330
74,0,1,0,0,66893,0,733,Poor,4,Damage,04/06/2023,Standard,0.43,0,True,Medium,High,New Baby,26/11/2024,23,75104,Unemployed,True,Rent,Apartment,True,Urban,Public transportation,11/10/2023,358
75,1,0,1,0,82877,6,990,Excellent,2,Accident,05/12/2023,Conflicting,0.82,18,False,Good,Medium,Job Change,31/10/2024,59,5004178,Unemployed,True,Rent,Apartment,False,Urban,Biking,24/02/2024,501
76,0,1,0,1,22571,1,769,Average,3,Damage,15/08/2024,Standard,0.71,1,False,Unknown,Poor,New Baby,07/12/2024,21,180722,Unemployed,False,Own,Townhouse,False,Urban,Public transportation,13/04/2023,386
77,1,1,1,0,20621,5,246,Good,0,Accident,03/01/2024,,,8,False,Unknown,High,,,46,5324279,Unemployed,True,Own,Apartment,True,Suburban,Public transportation,31/05/2024,399
78,1,0,0,1,85236,5,499,Excellent,0,Accident,28/10/2024,,,5,False,Medium,Medium,,,35,71180,Unemployed,True,Own,Apartment,False,Urban,Walking,26/09/2024,300
79,0,1,0,1,25512,2,890,Excellent,3,Damage,24/04/2023,Standard,0.15,2,False,Medium,Medium,New Baby,19/09/2023,43,74094,Unemployed,True,Own,Apartment,True,Urban,Public transportation,18/01/2025,466
80,0,0,1,0,76943,1,954,Poor,1,Theft,09/06/2023,Conflicting,0.52,1,False,Good,Medium,Marriage,06/11/2023,61,49810,Unemployed,True,Rent,Apartment,True,Urban,Public transportation,16/01/2025,372
81,1,1,0,0,56624,0,181,Poor,3,Accident,24/10/2024,Standard,0.35,0,False,Fragile,High,,,51,68654,Unemployed,False,Own,Apartment,False,Urban,Biking,18/01/2025,475
82,1,1,0,0,70432,4,485,Average,1,Accident,17/09/2024,Fast,0.89,4,False,Good,Poor,Moved,01/07/2025,27,66480,Unemployed,True,Own,Single-family home,True,Suburban,Walking,15/04/2023,305
83,1,0,0,0,66241,7,782,Good,1,Accident,22/03/2024,Standard,0.94,7,True,Fragile,Medium,,,53,66764,Unemployed,True,Own,Apartment,False,Urban,Walking,16/01/2025,178
84,1,0,0,0,99481,3,118,Excellent,1,Accident,24/04/2024,Standard,0.19,12,False,Unknown,Medium,Job Change,27/03/2024,31,71224,Unemployed,True,Rent,Apartment,True,Suburban,Biking,18/06/2024,300
85,0,0,1,1,70187,4,232,Excellent,0,Theft,03/06/2024,,,16,False,Fragile,Medium,Marriage,08/12/2024,48,68174,Unemployed,True,Own,Apartment,False,Urban,Biking,13/05/2024,107
86,1,1,0,1,90204,9,590,Poor,0,Accident,12/01/2024,,,14,False,Unknown,Poor,Moved,20/10/2024,65,82524,Unemployed,True,Rent,Apartment,True,Urban,Walking,20/11/2024,247
87,1,1,1,0,60753,1,150,Average,1,Accident,31/08/2024,Conflicting,0.27,8,False,Medium,Poor,Job Change,30/03/2025,32,66704,Unemployed,True,Rent,Single-family home,True,Suburban,Biking,15/04/2024,353
88,1,1,0,0,72128,4,831,Good,3,Accident,31/08/2024,Standard,0.39,4,False,Good,Poor,Marriage,24/07/2024,25,659147,Unemployed,True,Own,Townhouse,True,Urban,Public transportation,16/04/2024,130
89,0,0,1,0,76229,3,147,Poor,0,Theft,06/06/2024,,,7,False,Fragile,Poor,New Baby,07/03/2024,31,66424,Unemployed,True,Own,Townhouse,True,Urban,Car,07/01/2024,450
90,1,0,0,0,56167,0,570,Good,3,Accident,31/07/2024,Standard,0.85,0,False,Good,Poor,Moved,30/04/2024,40,72678,Unemployed,True,Own,Townhouse,True,Urban,Biking,11/06/2024,308
91,0,1,1,1,39749,6,942,Poor,0,Damage,16/12/2024,,,6,False,Fragile,Poor,Moved,21/08/2023,57,53957,Unemployed,True,Rent,Single-family home,True,Urban,Public transportation,21/07/2023,214
92,0,0,1,0,36015,5,733,Excellent,3,Theft,24/07/2023,Fast,0.7,13,False,Unknown,High,Moved,24/09/2023,38,41398,Unemployed,False,Rent,Apartment,True,Urban,Walking,10/09/2023,326
93,0,0,0,1,98917,7,281,Average,3,,,Fast,0.27,7,False,Medium,Poor,Marriage,25/04/2024,33,71576,Unemployed,True,Own,Single-family home,True,Rural,Car,15/10/2023,210
94,1,1,0,0,77232,6,862,Average,1,Accident,21/12/2024,Fast,0.65,18,False,Unknown,Poor,,,62,67830,Unemployed,True,Rent,Apartment,False,Suburban,Walking,18/03/2024,362
95,0,1,1,0,63889,3,756,Excellent,1,Damage,08/05/2024,Conflicting,0.56,8,False,Good,Medium,,,35,3059562,Unemployed,True,Own,Single-family home,False,Rural,Walking,19/02/2024,321
96,1,0,1,1,75499,5,860,Excellent,3,Accident,20/12/2024,Conflicting,0.0,5,True,Medium,High,,,64,67232,Unemployed,False,Own,Single-family home,True,Rural,Car,20/01/2024,188
97,0,1,0,0,62132,3,889,Excellent,2,Damage,24/07/2023,Fast,0.71,6,False,Good,Poor,Moved,28/07/2024,70,69764,Unemployed,True,Own,Townhouse,False,Urban,Biking,29/02/2024,253
98,0,1,1,0,46010,4,752,Good,3,Damage,15/09/2023,Standard,0.32,6,False,Good,High,Moved,07/07/2024,41,5671675,Unemployed,True,Rent,Apartment,False,Urban,Public transportation,22/05/2024,365
99,1,1,0,1,44743,9,210,Average,0,Accident,09/10/2023,,,12,False,Unknown,Medium,Moved,29/09/2024,43,796904,Unemployed,True,Rent,Apartment,False,Urban,Car,16/05/2023,164
100,0,1,0,0,95166,1,808,Excellent,3,Damage,27/11/2023,Standard,0.64,1,False,Fragile,Poor,New Baby,05/12/2024,42,555011,Unemployed,False,Rent,Single-family home,False,Suburban,Public transportation,27/03/2024,419
101,1,0,1,0,74264,0,360,Good,4,Accident,08/02/2024,Fast,0.74,0,False,Medium,High,Moved,30/03/2024,62,69034,Unemployed,True,Own,Apartment,True,Urban,Biking,20/10/2024,164
102,0,1,0,0,33242,1,358,Poor,3,Damage,01/07/2024,Conflicting,0.44,5,False,Good,Poor,Marriage,19/05/2023,58,66248,Unemployed,True,Own,Townhouse,True,Urban,Public transportation,12/06/2024,337
103,1,1,0,0,78768,8,746,Poor,1,Accident,21/05/2024,Conflicting,0.39,18,False,Unknown,High,,,46,73590,Unemployed,True,Own,Apartment,True,Urban,Public transportation,05/04/2023,522
104,1,0,1,1,69746,8,683,Average,1,Accident,04/02/2024,Standard,0.31,10,False,Fragile,High,Job Change,27/02/2024,32,68070,Unemployed,True,Own,Single-family home,False,Urban,Car,07/05/2024,324
105,0,1,1,0,91944,3,377,Good,0,Damage,08/10/2023,,,7,False,Good,Poor,Marriage,17/07/2024,62,67766,Unemployed,True,Own,Single-family home,False,Urban,Car,03/08/2024,301
106,0,0,1,0,33868,0,296,Good,4,Theft,30/08/2024,Fast,0.13,0,False,Unknown,High,Job Change,21/01/2024,18,67192,Unemployed,True,Rent,Apartment,True,Urban,Walking,27/03/2025,373
107,1,1,1,0,79266,2,806,Poor,2,Accident,16/09/2024,Fast,0.83,2,False,Unknown,Poor,,,42,73634,Unemployed,True,Own,Apartment,True,Suburban,Car,16/06/2024,223
108,1,0,0,1,16310,4,594,Average,4,Accident,01/05/2024,Fast,0.62,5,False,Unknown,Medium,Job Change,25/02/2024,24,71594,Unemployed,True,Own,Townhouse,False,Urban,Public transportation,12/11/2024,411
109,1,1,1,0,63639,1,841,Good,4,Accident,08/11/2024,Standard,0.45,3,False,Fragile,Medium,,,26,351674,Unemployed,True,Own,Apartment,True,Rural,Car,17/07/2024,469
110,1,1,0,1,43835,6,727,Average,3,Accident,10/10/2023,Standard,0.62,6,False,Good,Medium,Marriage,23/07/2024,41,171792,Unemployed,True,Rent,Apartment,False,Urban,Biking,09/11/2024,417
111,1,0,0,0,56105,0,781,Poor,4,Accident,27/01/2025,Conflicting,0.57,0,False,Unknown,Poor,Moved,05/05/2024,18,71314,Unemployed,True,Own,Apartment,False,Rural,Biking,03/08/2024,274
112,0,1,0,0,82390,6,691,Average,4,Damage,30/08/2024,Fast,0.39,8,False,Medium,Poor,,,61,71448,Unemployed,True,Rent,Single-family home,True,Urban,Car,13/07/2023,438
113,1,1,0,1,31284,3,127,Average,4,Accident,24/01/2025,Standard,0.04,5,False,Fragile,Medium,Marriage,29/07/2024,25,5726383,Unemployed,True,Rent,Apartment,True,Suburban,Biking,24/12/2024,354
114,0,0,1,0,69276,6,428,Excellent,4,Theft,01/06/2023,Fast,0.01,9,False,Medium,High,New Baby,10/06/2023,41,69570,Unemployed,True,Own,Single-family home,False,Urban,Public transportation,07/09/2024,368
115,0,1,1,0,54721,0,520,Average,4,Damage,03/07/2023,Conflicting,0.67,0,False,Fragile,Poor,Job Change,18/11/2024,28,70452,Unemployed,False,Own,Apartment,True,Urban,Biking,19/05/2023,304
116,1,1,0,1,86889,4,675,Excellent,3,Accident,03/08/2024,Conflicting,0.02,16,False,Unknown,Medium,,,68,74538,Unemployed,True,Rent,Townhouse,True,Suburban,Car,12/11/2023,443
117,1,0,1,1,98177,5,134,Poor,3,Accident,25/10/2024,Conflicting,0.29,9,False,Medium,Medium,Marriage,17/02/2024,34,68190,Unemployed,False,Own,Single-family home,False,Urban,Public transportation,25/07/2024,310
118,0,1,0,0,82704,1,941,Excellent,4,Damage,11/10/2024,Standard,0.9,1,False,Fragile,Poor,Marriage,03/05/2024,25,65872,Unemployed,False,Rent,Apartment,False,Urban,Car,09/06/2024,387
119,0,0,0,1,84271,7,173,Good,0,,,,,7,False,Medium,Poor,Job Change,27/03/2024,52,157265,Unemployed,True,Own,Townhouse,False,Urban,Public transportation,11/09/2023,165
120,1,0,0,0,47908,6,768,Poor,0,Accident,07/11/2024,,,16,False,Unknown,Poor,Marriage,25/08/2023,52,66008,Unemployed,True,Own,Apartment,False,Urban,Car,09/12/2024,369
121,1,1,0,1,63520,4,698,Excellent,1,Accident,15/02/2025,Standard,0.69,4,False,Medium,High,New Baby,15/08/2024,50,72046,Unemployed,True,Own,Townhouse,True,Urban,Public transportation,04/01/2024,472
122,1,0,0,1,75386,3,365,Excellent,0,Accident,10/10/2024,,,3,False,Medium,Medium,Moved,22/10/2023,22,71618,Unemployed,True,Own,Apartment,True,Urban,Biking,29/05/2023,329
123,0,0,1,0,59465,0,505,Good,0,Theft,09/01/2025,,,0,False,Fragile,Medium,,,59,68604,Unemployed,True,Own,Apartment,True,Urban,Car,24/07/2024,133
124,0,0,0,1,73691,1,613,Excellent,2,,,Standard,0.96,9,False,Fragile,Medium,Marriage,05/08/2023,56,70880,Unemployed,True,Rent,Single-family home,True,Urban,Car,28/03/2024,188
125,0,1,1,1,93249,9,253,Excellent,4,Damage,05/07/2024,Standard,0.33,13,False,Medium,Medium,Job Change,20/12/2024,58,274241,Unemployed,True,Rent,Single-family home,True,Suburban,Biking,30/08/2023,385
126,0,1,1,0,46426,9,805,Good,3,Damage,26/08/2023,Fast,0.25,14,False,Unknown,Poor,Marriage,25/05/2024,45,70658,Unemployed,True,Own,Apartment,True,Urban,Public transportation,17/11/2023,333
127,1,1,0,1,60288,2,668,Poor,2,Accident,25/03/2025,Conflicting,0.9,5,False,Unknown,Poor,Moved,31/12/2024,24,4855305,Unemployed,True,Rent,Townhouse,False,Urban,Public transportation,10/07/2024,280
128,0,0,1,1,25798,7,411,Poor,3,Theft,22/07/2024,Standard,0.3,7,False,Fragile,High,New Baby,04/06/2023,26,68752,Unemployed,True,Own,Single-family home,True,Urban,Public transportation,12/06/2024,388
129,1,1,0,0,70637,1,295,Good,0,Accident,24/07/2024,,,4,False,Good,High,,,25,71456,Unemployed,True,Own,Apartment,False,Urban,Public transportation,11/12/2023,480
